epoch,accuracy,loss,val_accuracy,val_loss
0,0.5827142596244812,0.7859543561935425,0.5686666369438171,0.7083994150161743
1,0.5959523916244507,0.6772046089172363,0.6119999885559082,0.6639842987060547
2,0.6003333330154419,0.6633428931236267,0.47022223472595215,0.7591115236282349
3,0.6021904945373535,0.6562501192092896,0.5617777705192566,0.6857884526252747
4,0.6052380800247192,0.6526651382446289,0.46088889241218567,3.3702924251556396
5,0.6101904511451721,0.6480644345283508,0.5491111278533936,0.6785802245140076
6,0.6191904544830322,0.6414676904678345,0.5393333435058594,0.7002681493759155
7,0.621238112449646,0.6367459893226624,0.49888888001441956,0.713695228099823
8,0.628333330154419,0.6322673559188843,0.5973333120346069,0.6539267301559448
9,0.6328571438789368,0.6286107897758484,0.5393333435058594,0.7914215326309204
10,0.6358095407485962,0.6226743459701538,0.4691111147403717,0.8847706913948059
11,0.6398571133613586,0.6193146705627441,0.48044443130493164,0.802001416683197
12,0.6415714025497437,0.6156426072120667,0.6340000033378601,0.6337106823921204
13,0.6434285640716553,0.6119072437286377,0.47866666316986084,0.8561434149742126
14,0.6441428661346436,0.6078424453735352,0.46511110663414,1.1766513586044312
15,0.6486666798591614,0.6032782196998596,0.480222225189209,1.0476495027542114
16,0.6520952582359314,0.6003744602203369,0.574222207069397,0.7243694067001343
17,0.6551428437232971,0.5970265865325928,0.5293333530426025,0.9149559736251831
18,0.6623333096504211,0.5935900211334229,0.5931110978126526,0.6691367626190186
19,0.6624761819839478,0.5903473496437073,0.6235555410385132,0.6166175603866577
20,0.663095235824585,0.5884103178977966,0.6315555572509766,0.6152511239051819
21,0.6638095378875732,0.5862554311752319,0.6228888630867004,0.6212927103042603
22,0.6650476455688477,0.5846346020698547,0.6213333606719971,0.6226082444190979
23,0.6678095459938049,0.5837048888206482,0.6222222447395325,0.6250594854354858
24,0.6677619218826294,0.5820001363754272,0.6191111207008362,0.6288861632347107
