epoch,accuracy,loss,val_accuracy,val_loss
0,0.6207417845726013,0.7076298594474792,0.52816241979599,0.7699310779571533
1,0.6475641131401062,0.6268746256828308,0.5299999713897705,0.9564120769500732
2,0.6551923155784607,0.6151743531227112,0.6082051396369934,0.6789259314537048
3,0.6632966995239258,0.6022375226020813,0.6051282286643982,0.6714959144592285
4,0.668498158454895,0.5954949259757996,0.6235042810440063,0.6503959894180298
5,0.6747801899909973,0.5890909433364868,0.6619230508804321,0.6109980344772339
6,0.6781501770019531,0.5841472744941711,0.6232478618621826,0.6366860866546631
7,0.681538462638855,0.5803454518318176,0.6290171146392822,0.6270231008529663
8,0.6843406558036804,0.5766337513923645,0.6300427317619324,0.635562539100647
9,0.6864194273948669,0.5730797648429871,0.6428632736206055,0.6469719409942627
10,0.6884248852729797,0.5706783533096313,0.6464956998825073,0.6286987662315369
11,0.6911630034446716,0.5672087669372559,0.6638888716697693,0.5902153849601746
12,0.6931501626968384,0.5647234320640564,0.6694871783256531,0.5834660530090332
13,0.6945787668228149,0.5619450211524963,0.6629059910774231,0.6104171872138977
14,0.6970238089561462,0.5595488548278809,0.6855555772781372,0.5747756958007812
15,0.6986355185508728,0.5577513575553894,0.6852564215660095,0.5748969316482544
16,0.7000732421875,0.5557520389556885,0.6847435832023621,0.576744556427002
17,0.7012820243835449,0.5545896887779236,0.6856837868690491,0.5692179799079895
18,0.7018040418624878,0.5534919500350952,0.6852136850357056,0.5680568218231201
19,0.7031227350234985,0.5524685382843018,0.685769259929657,0.5683543682098389
