epoch,accuracy,loss,val_accuracy,val_loss
0,0.6527346968650818,0.6683164834976196,0.5799047350883484,0.7259547710418701
1,0.6819999814033508,0.606621503829956,0.5901428461074829,0.6775845885276794
2,0.693275511264801,0.5810319781303406,0.6153333187103271,0.6176469326019287
3,0.7004285454750061,0.5646056532859802,0.5,0.6946372985839844
4,0.7016938924789429,0.558159351348877,0.4998571574687958,0.7578856348991394
5,0.704897940158844,0.5542824268341064,0.6237618923187256,0.6586906313896179
6,0.7067551016807556,0.550998866558075,0.6661428809165955,0.6089320182800293
7,0.7090408205986023,0.5472835898399353,0.4997619092464447,0.8784816861152649
8,0.7111632823944092,0.543962836265564,0.5072857141494751,0.6651536226272583
9,0.7114285826683044,0.5418661236763,0.7078095078468323,0.5454620122909546
10,0.7133163213729858,0.5386367440223694,0.6278095245361328,0.5798873901367188
11,0.7151020169258118,0.5356926321983337,0.7101428508758545,0.540346086025238
12,0.7165408134460449,0.5331824421882629,0.5003809332847595,0.8002156019210815
13,0.7189489603042603,0.5304219722747803,0.7126666903495789,0.5373947620391846
14,0.7197551131248474,0.5281862616539001,0.7110000252723694,0.5360730290412903
15,0.7216428518295288,0.5256862044334412,0.708476185798645,0.5385794043540955
16,0.7232347130775452,0.5238103270530701,0.7142381072044373,0.5340369939804077
17,0.723377525806427,0.5225554704666138,0.7154285907745361,0.5329820513725281
18,0.724795937538147,0.5211113095283508,0.7153809666633606,0.5325473546981812
19,0.7250612378120422,0.5207081437110901,0.7153333425521851,0.5327447056770325
