threshold,count_above_threshold1,count_above_threshold2
0.326939,0.9999145299145299,1.0
0.326949,0.9999145299145299,1.0
0.326959,0.9999145299145299,1.0
0.326969,0.9999145299145299,1.0
0.326979,0.9999145299145299,1.0
0.32698900000000003,0.9999145299145299,1.0
0.32699900000000004,0.9999145299145299,1.0
0.32700900000000005,0.9999145299145299,1.0
0.32701900000000006,0.9999145299145299,1.0
0.32702900000000007,0.9999145299145299,1.0
0.3270390000000001,0.9999145299145299,1.0
0.3270490000000001,0.9999145299145299,1.0
0.3270590000000001,0.9999145299145299,1.0
0.3270690000000001,0.9999145299145299,1.0
0.3270790000000001,0.9999145299145299,1.0
0.32708900000000013,0.9999145299145299,1.0
0.32709900000000014,0.9999145299145299,1.0
0.32710900000000015,0.9999145299145299,1.0
0.32711900000000016,0.9999145299145299,1.0
0.32712900000000017,0.9999145299145299,1.0
0.3271390000000002,0.9999145299145299,1.0
0.3271490000000002,0.9999145299145299,1.0
0.3271590000000002,0.9999145299145299,1.0
0.3271690000000002,0.9999145299145299,1.0
0.3271790000000002,0.9999145299145299,1.0
0.32718900000000023,0.9999145299145299,1.0
0.32719900000000024,0.9999145299145299,1.0
0.32720900000000025,0.9999145299145299,1.0
0.32721900000000026,0.9999145299145299,1.0
0.32722900000000027,0.9999145299145299,1.0
0.3272390000000003,0.9999145299145299,1.0
0.3272490000000003,0.9999145299145299,1.0
0.3272590000000003,0.9999145299145299,1.0
0.3272690000000003,0.9999145299145299,1.0
0.3272790000000003,0.9999145299145299,1.0
0.32728900000000033,0.9999145299145299,1.0
0.32729900000000034,0.9999145299145299,1.0
0.32730900000000035,0.9999145299145299,1.0
0.32731900000000036,0.9999145299145299,1.0
0.32732900000000037,0.9999145299145299,1.0
0.3273390000000004,0.9999145299145299,1.0
0.3273490000000004,0.9999145299145299,1.0
0.3273590000000004,0.9999145299145299,1.0
0.3273690000000004,0.9999145299145299,1.0
0.3273790000000004,0.9999145299145299,1.0
0.32738900000000043,0.9999145299145299,1.0
0.32739900000000044,0.9999145299145299,1.0
0.32740900000000045,0.9999145299145299,1.0
0.32741900000000046,0.9999145299145299,1.0
0.32742900000000047,0.9999145299145299,1.0
0.3274390000000005,0.9999145299145299,1.0
0.3274490000000005,0.9999145299145299,1.0
0.3274590000000005,0.9999145299145299,1.0
0.3274690000000005,0.9999145299145299,1.0
0.3274790000000005,0.9999145299145299,1.0
0.32748900000000053,0.9999145299145299,1.0
0.32749900000000054,0.9999145299145299,1.0
0.32750900000000055,0.9999145299145299,1.0
0.32751900000000056,0.9999145299145299,1.0
0.32752900000000057,0.9999145299145299,1.0
0.3275390000000006,0.9999145299145299,1.0
0.3275490000000006,0.9999145299145299,1.0
0.3275590000000006,0.9999145299145299,1.0
0.3275690000000006,0.9999145299145299,1.0
0.3275790000000006,0.9999145299145299,1.0
0.32758900000000063,0.9999145299145299,1.0
0.32759900000000064,0.9999145299145299,1.0
0.32760900000000065,0.9999145299145299,1.0
0.32761900000000066,0.9999145299145299,1.0
0.32762900000000067,0.9999145299145299,1.0
0.3276390000000007,0.9999145299145299,1.0
0.3276490000000007,0.9999145299145299,1.0
0.3276590000000007,0.9999145299145299,1.0
0.3276690000000007,0.9999145299145299,1.0
0.3276790000000007,0.9999145299145299,1.0
0.32768900000000073,0.9999145299145299,1.0
0.32769900000000074,0.9999145299145299,1.0
0.32770900000000075,0.9999145299145299,1.0
0.32771900000000076,0.9999145299145299,1.0
0.32772900000000077,0.9999145299145299,1.0
0.3277390000000008,0.9999145299145299,1.0
0.3277490000000008,0.9999145299145299,1.0
0.3277590000000008,0.9999145299145299,1.0
0.3277690000000008,0.9999145299145299,1.0
0.3277790000000008,0.9999145299145299,1.0
0.32778900000000083,0.9999145299145299,1.0
0.32779900000000084,0.9999145299145299,1.0
0.32780900000000085,0.9999145299145299,1.0
0.32781900000000086,0.9999145299145299,1.0
0.32782900000000087,0.9999145299145299,1.0
0.3278390000000009,0.9999145299145299,1.0
0.3278490000000009,0.9999145299145299,1.0
0.3278590000000009,0.9999145299145299,1.0
0.3278690000000009,0.9999145299145299,1.0
0.3278790000000009,0.9999145299145299,1.0
0.32788900000000093,0.9999145299145299,1.0
0.32789900000000094,0.9999145299145299,1.0
0.32790900000000095,0.9999145299145299,1.0
0.32791900000000096,0.9999145299145299,1.0
0.32792900000000097,0.9999145299145299,1.0
0.327939000000001,0.9999145299145299,1.0
0.327949000000001,0.9999145299145299,1.0
0.327959000000001,0.9999145299145299,1.0
0.327969000000001,0.9999145299145299,1.0
0.327979000000001,0.9999145299145299,1.0
0.32798900000000103,0.9999145299145299,1.0
0.32799900000000104,0.9999145299145299,1.0
0.32800900000000105,0.9999145299145299,1.0
0.32801900000000106,0.9999145299145299,1.0
0.32802900000000107,0.9999145299145299,1.0
0.3280390000000011,0.9999145299145299,1.0
0.3280490000000011,0.9999145299145299,1.0
0.3280590000000011,0.9999145299145299,1.0
0.3280690000000011,0.9999145299145299,1.0
0.3280790000000011,0.9999145299145299,1.0
0.32808900000000113,0.9999145299145299,1.0
0.32809900000000114,0.9999145299145299,1.0
0.32810900000000115,0.9999145299145299,1.0
0.32811900000000116,0.9999145299145299,1.0
0.32812900000000117,0.9999145299145299,1.0
0.3281390000000012,0.9999145299145299,1.0
0.3281490000000012,0.9999145299145299,1.0
0.3281590000000012,0.9999145299145299,1.0
0.3281690000000012,0.9999145299145299,1.0
0.3281790000000012,0.9999145299145299,1.0
0.32818900000000123,0.9999145299145299,1.0
0.32819900000000124,0.9999145299145299,1.0
0.32820900000000125,0.9999145299145299,1.0
0.32821900000000126,0.9999145299145299,1.0
0.32822900000000127,0.9999145299145299,1.0
0.3282390000000013,0.9999145299145299,1.0
0.3282490000000013,0.9999145299145299,1.0
0.3282590000000013,0.9999145299145299,1.0
0.3282690000000013,0.9999145299145299,1.0
0.3282790000000013,0.9999145299145299,1.0
0.32828900000000133,0.9999145299145299,1.0
0.32829900000000134,0.9999145299145299,1.0
0.32830900000000135,0.9999145299145299,1.0
0.32831900000000136,0.9999145299145299,1.0
0.32832900000000137,0.9999145299145299,1.0
0.3283390000000014,0.9999145299145299,1.0
0.3283490000000014,0.9999145299145299,1.0
0.3283590000000014,0.9999145299145299,1.0
0.3283690000000014,0.9999145299145299,1.0
0.3283790000000014,0.9999145299145299,1.0
0.32838900000000143,0.9999145299145299,1.0
0.32839900000000144,0.9999145299145299,1.0
0.32840900000000145,0.9999145299145299,1.0
0.32841900000000146,0.9999145299145299,1.0
0.32842900000000147,0.9999145299145299,1.0
0.3284390000000015,0.9999145299145299,1.0
0.3284490000000015,0.9999145299145299,1.0
0.3284590000000015,0.9999145299145299,1.0
0.3284690000000015,0.9999145299145299,1.0
0.3284790000000015,0.9999145299145299,1.0
0.32848900000000153,0.9999145299145299,1.0
0.32849900000000154,0.9999145299145299,1.0
0.32850900000000155,0.9999145299145299,1.0
0.32851900000000156,0.9999145299145299,1.0
0.32852900000000157,0.9999145299145299,1.0
0.3285390000000016,0.9999145299145299,1.0
0.3285490000000016,0.9999145299145299,1.0
0.3285590000000016,0.9999145299145299,1.0
0.3285690000000016,0.9999145299145299,1.0
0.3285790000000016,0.9999145299145299,1.0
0.32858900000000163,0.9999145299145299,1.0
0.32859900000000164,0.9999145299145299,1.0
0.32860900000000165,0.9999145299145299,1.0
0.32861900000000166,0.9999145299145299,1.0
0.32862900000000167,0.9999145299145299,1.0
0.3286390000000017,0.9999145299145299,1.0
0.3286490000000017,0.9999145299145299,1.0
0.3286590000000017,0.9999145299145299,1.0
0.3286690000000017,0.9999145299145299,1.0
0.3286790000000017,0.9999145299145299,1.0
0.32868900000000173,0.9999145299145299,1.0
0.32869900000000174,0.9999145299145299,1.0
0.32870900000000175,0.9999145299145299,1.0
0.32871900000000176,0.9999145299145299,1.0
0.32872900000000177,0.9999145299145299,1.0
0.3287390000000018,0.9999145299145299,1.0
0.3287490000000018,0.9999145299145299,1.0
0.3287590000000018,0.9999145299145299,1.0
0.3287690000000018,0.9999145299145299,1.0
0.3287790000000018,0.9999145299145299,1.0
0.32878900000000183,0.9999145299145299,1.0
