threshold,CDF_Noise,CDF_Injections
-2.684828,0.9999047619047619,1.0
-2.584828,0.9967619047619047,0.9999047619047619
-2.484828,0.9782857142857143,0.9990476190476191
-2.3848279999999997,0.922952380952381,0.996
-2.2848279999999996,0.8302857142857143,0.9904761904761905
-2.1848279999999995,0.7175238095238096,0.9829523809523809
-2.0848279999999995,0.598,0.9720952380952381
-1.9848279999999994,0.4838095238095238,0.9603809523809523
-1.8848279999999993,0.39504761904761904,0.947047619047619
-1.7848279999999992,0.3258095238095238,0.9346666666666666
-1.684827999999999,0.27266666666666667,0.9257142857142857
-1.584827999999999,0.23323809523809524,0.9152380952380952
-1.484827999999999,0.20257142857142857,0.9071428571428571
-1.3848279999999988,0.17819047619047618,0.9002857142857142
-1.2848279999999987,0.15504761904761905,0.8939047619047619
-1.1848279999999987,0.1358095238095238,0.8881904761904762
-1.0848279999999986,0.12104761904761904,0.8834285714285715
-0.9848279999999985,0.10885714285714286,0.8777142857142857
-0.8848279999999984,0.09561904761904762,0.8722857142857143
-0.7848279999999983,0.08542857142857142,0.8664761904761905
-0.6848279999999982,0.07819047619047619,0.8618095238095238
-0.5848279999999981,0.06961904761904762,0.8568571428571429
-0.48482799999999804,0.064,0.8512380952380952
-0.38482799999999795,0.05828571428571429,0.8466666666666667
-0.28482799999999786,0.052476190476190475,0.8420952380952381
-0.18482799999999777,0.04733333333333333,0.8372380952380952
-0.08482799999999768,0.04361904761904762,0.8324761904761905
0.015172000000002406,0.040285714285714286,0.8281904761904761
0.1151720000000025,0.03695238095238095,0.8239047619047619
0.21517200000000258,0.0339047619047619,0.8204761904761905
0.31517200000000267,0.030952380952380953,0.817047619047619
0.41517200000000276,0.028857142857142856,0.8132380952380952
0.5151720000000028,0.02676190476190476,0.8100952380952381
0.6151720000000029,0.024476190476190478,0.8064761904761905
0.715172000000003,0.022571428571428572,0.8033333333333333
0.8151720000000031,0.02057142857142857,0.7995238095238095
0.9151720000000032,0.01904761904761905,0.7960952380952381
1.0151720000000033,0.017714285714285714,0.792
1.1151720000000034,0.01638095238095238,0.7880952380952381
1.2151720000000035,0.015142857142857144,0.7842857142857143
1.3151720000000036,0.014571428571428572,0.7811428571428571
1.4151720000000036,0.013333333333333334,0.7779047619047619
1.5151720000000037,0.012380952380952381,0.7746666666666666
1.6151720000000038,0.011428571428571429,0.7713333333333333
1.715172000000004,0.010476190476190476,0.7685714285714286
1.815172000000004,0.009523809523809525,0.7656190476190476
1.915172000000004,0.008952380952380953,0.7622857142857142
2.015172000000004,0.008666666666666666,0.7594285714285715
2.1151720000000043,0.008095238095238095,0.7546666666666667
2.2151720000000044,0.007619047619047619,0.7518095238095238
2.3151720000000044,0.007047619047619047,0.7486666666666667
2.4151720000000045,0.0067619047619047615,0.746
2.5151720000000046,0.006380952380952381,0.7438095238095238
2.6151720000000047,0.006095238095238095,0.7411428571428571
2.715172000000005,0.005714285714285714,0.7370476190476191
2.815172000000005,0.005333333333333333,0.7342857142857143
2.915172000000005,0.005047619047619047,0.7316190476190476
3.015172000000005,0.004761904761904762,0.7291428571428571
3.115172000000005,0.0044761904761904765,0.7262857142857143
3.2151720000000052,0.004,0.7232380952380952
3.3151720000000053,0.003904761904761905,0.7194285714285714
3.4151720000000054,0.0035238095238095237,0.7166666666666667
3.5151720000000055,0.0034285714285714284,0.7133333333333334
3.6151720000000056,0.0033333333333333335,0.7098095238095238
3.7151720000000057,0.0030476190476190477,0.7076190476190476
3.815172000000006,0.002761904761904762,0.704
3.915172000000006,0.0026666666666666666,0.7012380952380952
4.015172000000006,0.002476190476190476,0.6979047619047619
4.1151720000000065,0.002285714285714286,0.6945714285714286
4.215172000000006,0.0018095238095238095,0.690952380952381
4.315172000000006,0.0015238095238095239,0.6884761904761905
4.415172000000006,0.0013333333333333333,0.685047619047619
4.515172000000007,0.001142857142857143,0.6817142857142857
4.6151720000000065,0.001142857142857143,0.6784761904761905
4.715172000000006,0.0009523809523809524,0.6748571428571428
4.815172000000007,0.0009523809523809524,0.6714285714285714
4.915172000000007,0.0008571428571428571,0.668
5.015172000000007,0.0008571428571428571,0.6644761904761904
5.1151720000000065,0.0008571428571428571,0.6608571428571428
5.215172000000007,0.0008571428571428571,0.6563809523809524
5.315172000000008,0.0008571428571428571,0.6522857142857142
5.415172000000007,0.0007619047619047619,0.6490476190476191
5.515172000000007,0.0007619047619047619,0.6463809523809524
5.615172000000007,0.0005714285714285715,0.6422857142857142
5.715172000000008,0.0004761904761904762,0.6394285714285715
5.815172000000008,0.00028571428571428574,0.636095238095238
5.915172000000007,0.00028571428571428574,0.6326666666666667
6.015172000000008,0.00028571428571428574,0.6289523809523809
6.115172000000008,0.00028571428571428574,0.6242857142857143
6.215172000000008,0.00028571428571428574,0.6210476190476191
6.315172000000008,0.00028571428571428574,0.6180952380952381
6.415172000000008,9.523809523809524e-05,0.6140952380952381
6.515172000000009,9.523809523809524e-05,0.6106666666666667
6.615172000000008,9.523809523809524e-05,0.6068571428571429
6.715172000000008,9.523809523809524e-05,0.6029523809523809
